id,district,street,name,beds,since,address,phone,zipcode,type,legal_person
1,宝山区,大场镇,上海信养养老服务有限公司大场分公司,247,2022-01-11,上海市场中路4098弄8号,021-56555322,,民建民营,魏松
2,宝山区,大场镇,上海大场长乐养老院,326,2015-07-22,上海市宝山区大场镇少年村路218号,66610336,200436,民建民营,刘洪法
3,宝山区,大场镇,上海宝山区大场欢喜家养老院,948,2024-08-20,上海市真大路599号,021-31028966,,公建民营,韩希云
4,宝山区,大场镇,上海宝山区大场镇敬老院,140,1998-12-23,上海市环镇北路600弄158号,021-56517301,200436,公建公营,范志强
5,宝山区,大场镇,上海宝山区大场镇祁连敬老院,96,1994-10-19,上海市锦秋路2088号,021-56131503,200436,公建公营,范志强
6,宝山区,大场镇,上海宝山区德照敬老院,171,2006-03-15,上海市红光村沪太路3651号,021-51609188,200444,民建民营,许小凤
7,宝山区,大场镇,上海宝山区秋晖养老院,144,2019-03-01,上海市祁连社区,56696128,200444,公建民营,潘马发
8,宝山区,大场镇,上海宝山区金悦养老院,288,2016-05-02,上海市宝山区大场镇祁真路485号,13601786946,200436,公建民营,秦雨胜
9,宝山区,大场镇,上海星堡老年服务有限公司,1382,2014-04-23,上海市环镇南路858弄5号楼、8-2号楼,31001500*80101,200436,民建民营,陈育骏
10,宝山区,大场镇,上海星辰家养老服务有限公司,330,2023-12-06,上海市祁康路516号,021-66951555,,民建民营,刘毅达
11,宝山区,高境镇,上海宝山区高境镇养老院,430,2012-08-08,上海市何家湾路99弄9号,55040277,200439,公建民营,秦雨胜
12,宝山区,顾村镇,上海宝山区保龙养老院,395,2017-10-13,上海市宝山区顾村镇宝安公路2365号,56752222,201801,民建民营,黄龙
13,宝山区,顾村镇,上海宝山区康泰养老院,213,2018-10-10,上海市宝山区顾村镇顾陈路430号,66780009,201906,民建民营,李茜
14,宝山区,顾村镇,上海宝山区顾村镇敬老院,203,2014-03-12,上海市沪太路5129弄10号,021-56020482,201907,公建公营,李珍
15,宝山区,顾村镇,上海宝山区顾村镇馨佳园养老院,131,2017-05-16,上海市潘广路1645号,36210632,201906,公建民营,刘燕芳
16,宝山区,顾村镇,上海宝山沣德养老院,313,2019-07-05,上海市湄星路1818号11幢,66680189,201900,民建民营,郑振亮
17,宝山区,顾村镇,上海顾村和平养老院,188,2016-03-09,上海市陆翔路688弄1-33号,66028550,201907,民建民营,丁洁雯
18,宝山区,顾村镇,欧葆庭（上海）养老服务有限公司,385,2020-08-11,上海市沪太路4858号,56021699,,民建民营,王婷婷
19,宝山区,罗店镇,上海宝山罗店孝乐汇美兰金湖养老院,137,2023-02-14,上海市罗南路39号,66860097,201908,公建民营,韩希云
20,宝山区,罗店镇,上海宝山罗福养老院,215,2005-08-23,上海市东西巷街,64693728,201908,民建民营,顾超
21,宝山区,罗店镇,上海宝山美兰金苑养老院,850,2009-12-23,上海市宝山区罗店镇沪太路6273弄50号,66010806,201908,公建公营,陈璐
22,宝山区,罗店镇,上海金罗敬老院,120,2003-09-18,上海市罗东路1176号东首,15901604656,201908,民建民营,严云龙
23,宝山区,罗店镇,上海青汐养老服务有限公司,174,2021-04-26,上海市宝山工业园区 上海市宝山区城银路505号101-104、3层、5层、6层、507号1-2层、509号1-2层、511号1-2层、513号1-2层,56670229,,民建民营,宋斐
24,宝山区,罗泾镇,上海宝山区罗泾镇敬老院,110,1984-02-20,上海市宝山区罗泾镇集宁路179号,56870784,200949,公建公营,杨海英
25,宝山区,罗泾镇,上海怡景养老院,281,2017-09-30,上海市宝山区罗泾镇潘沪路78号,66877829,200949,公建民营,潘程
26,宝山区,庙行镇,上海宝山区庙行镇敬老院,140,2012-12-10,上海市敬老院,56661706,200443,公建公营,冯禕磊
27,宝山区,庙行镇,上海宝山庙行孝乐汇悦馨养老院,417,2020-12-09,上海市南蕴藻路999号,17321215815,200443,公建民营,朱利
28,宝山区,庙行镇,上海颐和嘉宁养护院有限公司,269,2023-01-17,上海市南蕰藻路678号,4008780388,,民建民营,MEI XUEYAN
29,宝山区,淞南镇,上海宝山区淞南镇养老院,312,2018-09-10,上海市宝山区淞南镇长江路860弄58号,56121758,200439,公建民营,顾张燕
30,宝山区,淞南镇,上海美庭阳光养老院,284,2016-02-01,上海市宝山区淞南镇长江南路970号,36589188,200439,民建民营,周知
31,宝山区,吴淞街道,上海同泰敬老院,245,2016-12-06,上海市同泰北路183号,56175183,200940,民建民营,苗成
32,宝山区,吴淞街道,上海宝山区新宏养老院,128,2022-07-01,上海市淞宝路96号7幢、5幢三层,56167148,,民建民营,陈丽娟
33,宝山区,吴淞街道,上海宝山区海滨新村街道敬老院,160,2004-08-19,上海市宝山区吴淞街道永清二村122号,56566635,200940,公建民营,张红阳
34,宝山区,吴淞街道,上海宝山区逸仙养老院,421,2017-04-10,上海市宝山区塘后支路19-21号,021-56562778,200940,民建民营,冯强
35,宝山区,杨行镇,上海宝山勤丰家乐养老院,142,2009-12-03,上海市宝山区杨行镇盘古路715弄9号,66785088 66781068,201900,民建民营,刘挺浩
